,Date,Visit,Home,V_Odd,H_Odd,OU,Score
0,21/10/19,BKN,MIL,105,-125,233.5,104-127
1,21/10/19,GS,GS,140,-160,226.5,121-114
2,21/10/20,IND,CHA,-125,105,223.0,122-123
3,21/10/20,CHI,DET,-220,190,218.0,94-88
4,21/10/20,WAS,TOR,120,-140,223.0,98-83
5,21/10/20,BOS,NY,120,-140,220.0,134-138
6,21/10/20,CLE,MEM,240,-280,218.5,121-132
7,21/10/20,PHI,NO,-170,150,224.0,117-97
8,21/10/20,HOU,MIN,220,-260,232.0,106-124
9,21/10/20,ORL,SA,225,-265,212.5,97-123
10,21/10/20,OKC,UTA,750,-1200,221.5,86-107
11,21/10/20,SAC,POR,220,-260,234.0,124-121
12,21/10/20,DEN,PHO,200,-240,224.0,110-98
13,21/10/21,DAL,ATL,120,-140,225.5,87-113
14,21/10/21,MIL,MIA,130,-150,222.5,95-137
15,21/10/21,LAC,GS,160,-180,229.0,113-115
16,21/10/22,NY,ORL,-350,290,212.0,121-96
17,21/10/22,CHA,CLE,-135,115,226.0,123-112
18,21/10/22,IND,WAS,-130,110,225.5,134-135
19,21/10/22,TOR,BOS,240,-280,217.5,115-83
20,21/10/22,BKN,PHI,-120,100,224.5,114-109
21,21/10/22,OKC,HOU,130,-150,221.0,91-124
22,21/10/22,NO,CHI,235,-275,222.5,112-128
23,21/10/22,SA,DEN,260,-310,222.0,96-102
24,21/10/22,PHO,LAL,105,-125,222.0,115-105
25,21/10/22,UTA,SAC,-240,200,227.0,110-101
26,21/10/23,ATL,CLE,-360,300,223.5,95-101
27,21/10/23,MIA,IND,-155,135,222.0,91-102
28,21/10/23,DAL,TOR,-190,170,217.5,103-95
29,21/10/23,NO,MIN,260,-310,228.5,89-96
30,21/10/23,DET,CHI,280,-340,213.5,82-97
31,21/10/23,MIL,SA,-250,210,225.5,121-111
32,21/10/23,PHO,POR,135,-155,229.0,105-134
33,21/10/23,MEM,LAC,155,-175,226.0,120-114
34,21/10/24,CHA,BKN,350,-420,233.0,111-95
35,21/10/24,ORL,NY,600,-900,212.0,110-104
36,21/10/24,BOS,HOU,-210,180,221.5,107-97
37,21/10/24,PHI,OKC,-500,400,216.0,115-103
38,21/10/24,GS,SAC,-150,130,234.5,119-107
39,21/10/24,MEM,LAL,180,-210,225.5,118-121
40,21/10/25,MIL,IND,-115,-105,229.5,119-109
41,21/10/25,BOS,CHA,-130,110,225.0,140-129
42,21/10/25,ORL,MIA,700,-1100,211.5,90-107
43,21/10/25,CHI,TOR,-135,115,213.5,111-108
44,21/10/25,DET,ATL,525,-750,212.5,104-122
45,21/10/25,WAS,BKN,200,-240,229.0,90-104
46,21/10/25,NO,MIN,190,-220,224.5,107-98
47,21/10/25,CLE,DEN,400,-500,221.0,99-87
48,21/10/25,POR,LAC,120,-140,229.5,86-116
49,21/10/26,PHI,NY,100,-120,217.0,99-112
50,21/10/26,GS,OKC,-600,450,223.5,106-98
51,21/10/26,HOU,DAL,475,-650,222.5,106-116
52,21/10/26,LAL,SA,115,-135,220.0,125-121
53,21/10/26,DEN,UTA,265,-320,218.5,110-122
54,21/10/27,CHA,ORL,-210,180,221.0,120-111
55,21/10/27,MIA,BKN,140,-160,218.0,106-93
56,21/10/27,IND,TOR,100,-120,214.0,100-118
57,21/10/27,ATL,NO,-200,175,220.5,102-99
58,21/10/27,WAS,BOS,155,-175,224.0,116-107
59,21/10/27,LAL,OKC,-220,190,217.0,115-123
60,21/10/27,MIN,MIL,195,-235,231.0,113-108
61,21/10/27,SAC,PHO,300,-360,224.5,110-107
62,21/10/27,MEM,POR,115,-135,233.0,96-116
63,21/10/27,CLE,LAC,290,-350,219.0,92-79
64,21/10/28,DET,PHI,450,-600,211.0,102-110
65,21/10/28,ATL,WAS,-170,150,222.5,111-122
66,21/10/28,NY,CHI,100,-120,216.5,104-103
67,21/10/28,UTA,HOU,-450,375,222.5,122-91
68,21/10/28,SA,DAL,220,-260,219.5,99-104
69,21/10/28,MEM,GS,200,-240,228.0,104-101
70,21/10/29,ORL,TOR,380,-460,206.5,109-110
71,21/10/29,CHA,MIA,240,-280,221.5,99-114
72,21/10/29,IND,BKN,340,-410,223.0,98-105
73,21/10/29,SAC,NO,-120,100,221.0,113-109
74,21/10/29,LAC,POR,140,-160,223.5,92-111
75,21/10/29,DAL,DEN,145,-165,216.5,75-106
